sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e03452-F-20240509	e03452-F-20240509	1	e03452-F_S469_L001_R1_001.fastq.gz	e03452-F_S469_L001_R2_001.fastq.gz	4153	4153	4086	4086	3988	3988	43	41	41
e03453-D-20240509	e03453-D-20240509	1	e03453-D_S304_L001_R1_001.fastq.gz	e03453-D_S304_L001_R2_001.fastq.gz	8107	8107	7991	7991	7495	7495	6907	6809	6809
e03453-E-20240509	e03453-E-20240509	1	e03453-E_S387_L001_R1_001.fastq.gz	e03453-E_S387_L001_R2_001.fastq.gz	15758	15758	15558	15558	15414	15414	14099	14032	14032
e03453-F-20240509	e03453-F-20240509	1	e03453-F_S470_L001_R1_001.fastq.gz	e03453-F_S470_L001_R2_001.fastq.gz	5351	5351	5279	5279	5182	5182	3772	3766	3766
e03454-D-20240509	e03454-D-20240509	1	e03454-D_S305_L001_R1_001.fastq.gz	e03454-D_S305_L001_R2_001.fastq.gz	27546	27546	27198	27198	27081	27081	26042	25533	25533
e03454-E-20240509	e03454-E-20240509	1	e03454-E_S388_L001_R1_001.fastq.gz	e03454-E_S388_L001_R2_001.fastq.gz	22130	22130	21845	21845	21732	21732	18117	18040	18040
e03454-F-20240509	e03454-F-20240509	1	e03454-F_S471_L001_R1_001.fastq.gz	e03454-F_S471_L001_R2_001.fastq.gz	29494	29494	29106	29106	28980	28980	27813	27485	27485
e03455-D-20240509	e03455-D-20240509	1	e03455-D_S306_L001_R1_001.fastq.gz	e03455-D_S306_L001_R2_001.fastq.gz	39651	39651	39106	39106	38937	38937	36677	36198	36198
e03455-E-20240509	e03455-E-20240509	1	e03455-E_S389_L001_R1_001.fastq.gz	e03455-E_S389_L001_R2_001.fastq.gz	9560	9560	9425	9425	9262	9262	108	107	107
e03455-F-20240509	e03455-F-20240509	1	e03455-F_S472_L001_R1_001.fastq.gz	e03455-F_S472_L001_R2_001.fastq.gz	25639	25639	25276	25276	24480	24480	21989	21908	21908
e03456-D-20240509	e03456-D-20240509	1	e03456-D_S307_L001_R1_001.fastq.gz	e03456-D_S307_L001_R2_001.fastq.gz	38924	38924	38402	38402	38244	38244	36084	35079	35079
