"","site","ID","lon","lat","bdepth","slope","aspectE","aspectN","curve","btemp","bcurrentU","bcurrentV","bcurrentUSD","bcurrentVSD","tmax","phi","BPI","sponge","bottomtemp_2023","surfacetemp_2023"
"21","18_10",21,-738172.25,1357821.375,28.3772811889648,0.0217289458960295,-0.937529802322388,0.347799122333527,-5.35087419848423e-05,7.29229688644409,-0.00477447686716914,0.00959938298910856,0.0042661246843636,0.00347185996361077,34.869930267334,3.38050770759583,0,0,7.98390102386475,8.48729991912842
"22","19_10",22,-686172.25,1347821.375,25.7468013763428,0.0216742716729641,0.893148422241211,0.435820192098618,1.96504279301735e-05,10.2653884887695,0.000395321752876043,0.00770768523216248,0.00488975225016475,0.00673795398324728,29.458667755127,3.16436886787415,0,0,10.0325212478638,10.4099140167236
"23","20_10",23,-675172.25,1401821.375,29.0785274505615,0.00385682913474739,0.0439631976187229,-0.933323860168457,8.26512132334756e-06,9.24651336669922,0.00277048139832914,0.0124338380992413,0.00351086119189858,0.00250691105611622,23.5171012878418,3.20256781578064,0,0,10.2037839889526,11.242621421814
"24","21_10",24,-725172.25,1412821.375,25.1320724487305,0.0445507913827896,0.0292701702564955,0.800095856189728,-0.000157293354277499,5.67762517929077,-0.000184951903065667,0.00836234167218208,0.00471895467489958,0.006364980712533,29.2559509277344,3.07571029663086,0,0,7.46776914596558,8.58544731140137
"25","22_10",25,-776172.25,1423821.375,43.2011528015137,0.128098487854004,0.909792304039001,0.206017270684242,-0.000298880215268582,2.50036692619324,-0.00288865878246725,0.00421172846108675,0.00353743438608944,0.00460573052987456,27.1578559875488,3.42704772949219,-1.78626215457916,1,3.09379053115845,7.92961406707764
"26","23_10",26,-827172.25,1435821.375,40.998950958252,0.00219614361412823,-0.979606568813324,0.0776834264397621,5.33288175574853e-06,0.705150246620178,-0.0028756728861481,0.00157937617041171,0.00479084951803088,0.00660988548770547,21.9625339508057,3.84295654296875,0,1,0.905034422874451,8.59467601776123
"27","23_30",27,-827172.25,1435821.375,40.998950958252,0.00219614361412823,-0.979606568813324,0.0776834264397621,5.33288175574853e-06,0.705150246620178,-0.0028756728861481,0.00157937617041171,0.00479084951803088,0.00660988548770547,21.9625339508057,3.84295654296875,0,1,0.905034422874451,8.59467601776123
"28","24_10",28,-878172.25,1447821.375,50.5619163513184,0.0573311746120453,0.945979595184326,0.237820953130722,-0.000207182209123857,-0.0514818131923676,-0.00213347817771137,0.000398330303141847,0.00466641364619136,0.00416821567341685,22.2301940917969,4.46011924743652,-0.707487881183624,0,0.267324447631836,8.84299945831299
"29","24_40",29,-878172.25,1447821.375,50.5619163513184,0.0573311746120453,0.945979595184326,0.237820953130722,-0.000207182209123857,-0.0514818131923676,-0.00213347817771137,0.000398330303141847,0.00466641364619136,0.00416821567341685,22.2301940917969,4.46011924743652,-0.707487881183624,0,0.267324447631836,8.84299945831299
"30","25_10",30,-865172.25,1502821.375,43.7795104980469,0.0807746946811676,0.741698622703552,0.627817332744598,-0.000133474313770421,-0.0778785422444344,-0.000459072791272774,0.00308827962726355,0.00227589090354741,0.00302376877516508,21.2113361358643,4.41357612609863,-0.442599684000015,1,0.0109218684956431,8.66306495666504
"31","25_30",31,-865172.25,1502821.375,43.7795104980469,0.0807746946811676,0.741698622703552,0.627817332744598,-0.000133474313770421,-0.0778785422444344,-0.000459072791272774,0.00308827962726355,0.00227589090354741,0.00302376877516508,21.2113361358643,4.41357612609863,-0.442599684000015,1,0.0109218684956431,8.66306495666504
"32","26_10",32,-813172.25,1487821.375,37.0092430114746,0.00861918739974499,-0.411494046449661,-0.909522294998169,6.87674109940417e-05,0.901582181453705,0.00115663884207606,0.00493918173015118,0.00630314787849784,0.00634402595460415,25.6392917633057,3.82381725311279,0,1,0.839744567871094,8.0859317779541
"33","27_10",33,-765172.25,1477821.375,37.0346565246582,0.0262808501720428,0.241822704672813,-0.968855023384094,-2.16241896850988e-05,1.87559819221497,0.00402299733832479,0.00806846469640732,0.00629441300407052,0.00966511480510235,26.0180530548096,3.47677755355835,0,1,2.72982430458069,7.95918846130371
"34","28_10",34,-715172.25,1464821.375,31.4660797119141,0.0297854244709015,-0.96557354927063,-0.252032816410065,-5.76067759539001e-05,4.51559257507324,0.000784216972533613,0.00822351407259703,0.00504508940503001,0.00343978172168136,25.5370254516602,3.21755003929138,0,1,5.70494031906128,7.95793676376343
"35","30_10",35,-655172.25,1511821.375,26.3963165283203,0.133145496249199,-0.989913284778595,-0.0766457170248032,0.000144020130392164,5.80111312866211,-0.00063816673355177,0.01719337888062,0.00509076239541173,0.00434614857658744,18.0574893951416,3.376544713974,0.941987335681915,1,7.62844800949097,9.09866333007812
"36","31_10",36,-605172.25,1500821.375,20.9066638946533,0.055659007281065,-0.29507103562355,-0.9339200258255,-0.000105410690593999,8.61528015136719,0.00775584671646357,0.00588776543736458,0.00814103055745363,0.00786366127431393,19.0280017852783,3.39856147766113,0,0,9.27251052856445,9.85101413726807
"37","32_10",37,-591172.25,1557821.375,28.5399513244629,0.220068633556366,-0.188315778970718,-0.952746868133545,-0.00113583297934383,6.42895936965942,0.00207436317577958,0.0127990394830704,0.00627919798716903,0.00903221312910318,16.7958831787109,3.40115404129028,-2.37053728103638,0,6.98399019241333,9.26007652282715
"38","34_10",38,-689172.25,1575821.375,32.5869064331055,0.00927497446537018,0.982929468154907,-0.118422374129295,-3.09116730932146e-05,3.7966947555542,-0.00226205890066922,0.0238199550658464,0.00807229429483414,0.0105037689208984,18.6646595001221,3.23524689674377,0,1,4.58648014068604,6.71705627441406
"39","35_10",39,-630172.25,1620821.375,32.9910583496094,0.0245628412812948,-0.106407590210438,-0.00985350552946329,3.02780972560868e-05,3.87174797058105,-0.0141772488132119,0.0136940749362111,0.00432795472443104,0.00702971778810024,15.7435960769653,3.34153246879578,0,1,5.93236684799194,8.68535232543945
"40","36_10",40,-678172.25,1630821.375,35.6827392578125,0.155916973948479,-0.0730418711900711,-0.765274167060852,-0.000247349205892533,3.75004100799561,-0.00712623028084636,0.015883531421423,0.0101030403748155,0.00686580501496792,15.7507266998291,3.2594141960144,0.645970523357391,0,2.71771454811096,7.79620170593262
"41","37_10",41,-726172.25,1641821.375,34.696102142334,0.037978433072567,-0.710626482963562,0.653830111026764,2.63896981778089e-05,3.83724403381348,0.00952646229416132,0.0114841321483254,0.00328693329356611,0.00369767425581813,18.2771987915039,3.33106899261475,0,0,2.33824563026428,7.89596557617188
"42","38_10",42,-715172.25,1696821.375,41.7968521118164,0.0195664577186108,-0.254888087511063,0.509989976882935,4.92638064315543e-05,3.01732730865479,0.00560389179736376,0.0211568474769592,0.00251867738552392,0.00424529844895005,12.8624067306519,2.97586345672607,0,1,1.16528415679932,7.15036821365356
"43","39_10",43,-669172.25,1685821.375,35.4113540649414,0.0351471081376076,0.694199562072754,-0.540465414524078,0.000115314425784163,3.61901760101318,-0.0157151445746422,0.0306459460407495,0.00609106849879026,0.00575172016397119,13.1196451187134,2.83015060424805,0,0,3.59089112281799,8.15853023529053
"44","40_10",44,-633172.25,1734821.375,27.9350070953369,0.134457349777222,-0.98468804359436,0.0914301127195358,-0.000225201671128161,5.0979061126709,-0.038322240114212,0.0489265769720078,0.00506028160452843,0.00540633033961058,10.1313800811768,3.16217184066772,-0.979523777961731,1,8.13626480102539,8.38664531707764
"45","41_10",45,-620172.25,1676821.375,26.7549419403076,0.0110535183921456,-0.691030561923981,-0.500787019729614,6.0631605265371e-06,5.13592338562012,-0.0323734916746616,0.0262789763510227,0.00583856645971537,0.00749051757156849,16.2168922424316,3.18190479278564,0,1,8.53688716888428,10.594202041626
"46","43_10",46,-583172.25,1612821.375,22.2302360534668,0.0298875160515308,-0.933241188526154,0.290194869041443,-7.57528905523941e-05,6.12726974487305,-0.00936693791300058,0.0139191318303347,0.00695554725825787,0.00706975068897009,17.9216289520264,3.40444016456604,0,1,6.61626720428467,9.4097900390625
"47","44_10",47,-412172.25,1596821.375,20.5065002441406,0.00538247497752309,0.199969157576561,0.957066297531128,-2.36067226069281e-05,8.74159336090088,-0.00167647120542824,-0.00689560081809759,0.0029052288737148,0.00462399423122406,15.3650741577148,3.09042620658875,1,0,3.26947784423828,14.8320455551147
"48","45_10",48,-459172.25,1603821.375,22.0583629608154,0.0237017050385475,0.540347993373871,-0.794844925403595,0.000104899299913086,9.1799488067627,-0.0209807772189379,-0.00293622235767543,0.0116965370252728,0.00492408964782953,21.7746887207031,3.43731498718262,0,0,5.0069694519043,13.7736940383911
"49","46_10",49,-508172.25,1610821.375,20.2998809814453,0.183184534311295,-0.66943770647049,0.721704006195068,0.000344173546181992,9.53769493103027,-0.0153996841982007,-0.00316430116072297,0.00164785515516996,0.0027843217831105,25.1627178192139,3.47634148597717,-0.00570524018257856,0,8.05621433258057,12.8331909179688
